courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
ACCT 616,Advanced Topics in Individual and Pass-through Taxation,"(None, None)",,,
ACCT 618,Advanced Topics in Corporate Taxation,"(None, None)",,,
ACCT 622,Advanced Auditing,"(None, None)",,,
ACCT 632,Advanced Financial Accounting Theory,"(None, None)",,,
ACCT 635,Advanced Research for Financial Reporting,"(None, None)",,,
ACCT 642,Accounting Ethics,"(None, None)",,,
ACCT 201,Acct 201,"(None, None)",,,
ACCT 209,Survey of Accounting and Finance,"(None, None)",,,
ACCT 211,Financial Principles,"(None, None)",,,
ACCT 212,Managerial Principles,"(None, None)",,,
ACCT 301,Intermediate Financial Accounting I,"(None, None)",,,
ACCT 302,Intermediate Financial Accounting II,"(None, None)",,,
ACCT 311,Corporate Accounting,"(None, None)",,,
ACCT 332,Accounting Information Systems,"(None, None)",,,
ACCT 340,Accounting Ethics,"(None, None)",,,
ACCT 370,Financial Statement Analysis,"(None, None)",,,
ACCT 401,Individual Taxation,"(None, None)",,,
ACCT 402,Advanced Accounting,"(None, None)",,,
ACCT 403,Fund Accounting for Government and Not for Profits,"(None, None)",,,
ACCT 404,Assurance and Attestation,"(None, None)",,,
ACCT 406,Principles of Forensic Accounting,"(None, None)",,,
ACCT 412,Taxation II,"(None, None)",,,
ACCT 432,IT Audit,"(None, None)",,,
ACCT 470,Advanced Data Analysis and Reporting,"(None, None)",,,
ACCT 499,Internships (16 wk),"(None, None)",,,
ACCT 511,Advanced Business Law for Accountants,"(None, None)",,,
ACCT 521,Advanced Cost Accounting,"(None, None)",,,
ACCT 531,Accounting Information Systems,"(None, None)",,,
ACCT 612,Tax Research and Jurisprudence,"(None, None)",,,
ACCT 614,"Estate, Trust, and Gift Taxation","(None, None)",,,
